"C:\Program Files\Java\jdk-10.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.1\lib\idea_rt.jar=49996:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\Users\perni\OneDrive\Documents\DataIng\2. Klasse\Vår\Kjemi\Assignment\out\production\Assignment" Element
Element{atomicNumber=58, symbol='Ce', name='cerium', empirical_radius=185, calculated_radius=158, mass=140.116}
Element{atomicNumber=59, symbol='Pr', name='praseodymium', empirical_radius=185, calculated_radius=247, mass=140.9077}
Element{atomicNumber=60, symbol='Nd', name='neodymium', empirical_radius=185, calculated_radius=206, mass=144.24}
Element{atomicNumber=61, symbol='Pm', name='promethium', empirical_radius=185, calculated_radius=205, mass=145.0}
Element{atomicNumber=62, symbol='Sm', name='samarium', empirical_radius=185, calculated_radius=238, mass=150.36}
Element{atomicNumber=63, symbol='Eu', name='europium', empirical_radius=185, calculated_radius=231, mass=151.964}
Element{atomicNumber=64, symbol='Gd', name='gadolinium', empirical_radius=180, calculated_radius=233, mass=157.25}
Element{atomicNumber=65, symbol='Tb', name='terbium', empirical_radius=175, calculated_radius=225, mass=158.9253}
Element{atomicNumber=66, symbol='Dy', name='dysprosium', empirical_radius=175, calculated_radius=228, mass=162.5}
Element{atomicNumber=67, symbol='Ho', name='holmium', empirical_radius=175, calculated_radius=226, mass=164.9303}
Element{atomicNumber=68, symbol='Er', name='erbium', empirical_radius=175, calculated_radius=226, mass=167.259}
Element{atomicNumber=69, symbol='Tm', name='thulium', empirical_radius=175, calculated_radius=222, mass=168.9342}
Element{atomicNumber=70, symbol='Yb', name='ytterbium', empirical_radius=175, calculated_radius=222, mass=173.04}
Element{atomicNumber=71, symbol='Lu', name='lutetium', empirical_radius=175, calculated_radius=217, mass=174.967}
Element{atomicNumber=72, symbol='Hf', name='hafnium', empirical_radius=155, calculated_radius=208, mass=178.49}
Element{atomicNumber=73, symbol='Ta', name='tantalum', empirical_radius=145, calculated_radius=200, mass=180.9479}
Element{atomicNumber=74, symbol='W', name='tungsten', empirical_radius=135, calculated_radius=193, mass=183.84}
Element{atomicNumber=75, symbol='Re', name='rhenium', empirical_radius=135, calculated_radius=188, mass=186.207}
Element{atomicNumber=76, symbol='Os', name='osmium', empirical_radius=130, calculated_radius=185, mass=190.23}
Element{atomicNumber=77, symbol='Ir', name='iridium', empirical_radius=135, calculated_radius=180, mass=192.217}
Element{atomicNumber=78, symbol='Pt', name='platinum', empirical_radius=135, calculated_radius=177, mass=195.078}
Element{atomicNumber=79, symbol='Au', name='gold', empirical_radius=135, calculated_radius=174, mass=196.9665}
Element{atomicNumber=80, symbol='Hg', name='mercury', empirical_radius=150, calculated_radius=171, mass=200.59}
Element{atomicNumber=81, symbol='Tl', name='thallium', empirical_radius=190, calculated_radius=156, mass=204.3833}
Element{atomicNumber=82, symbol='Pb', name='lead', empirical_radius=180, calculated_radius=154, mass=207.2}
Element{atomicNumber=83, symbol='Bi', name='bismuth', empirical_radius=160, calculated_radius=143, mass=208.9804}
Element{atomicNumber=84, symbol='Po', name='polonium', empirical_radius=190, calculated_radius=135, mass=209.0}
Element{atomicNumber=85, symbol='At', name='astatine', empirical_radius=-1, calculated_radius=127, mass=210.0}
Element{atomicNumber=86, symbol='Rn', name='radon', empirical_radius=-1, calculated_radius=120, mass=222.0}
Element{atomicNumber=87, symbol='Fr', name='francium', empirical_radius=-1, calculated_radius=-1, mass=223.0}
Element{atomicNumber=88, symbol='Ra', name='radium', empirical_radius=215, calculated_radius=-1, mass=226.0}
Element{atomicNumber=89, symbol='Ac', name='actinium', empirical_radius=195, calculated_radius=-1, mass=227.0}
Element{atomicNumber=90, symbol='Th', name='thorium', empirical_radius=180, calculated_radius=-1, mass=231.0359}
Element{atomicNumber=91, symbol='Pa', name='protactinium', empirical_radius=180, calculated_radius=-1, mass=232.0381}
Element{atomicNumber=92, symbol='U', name='uranium', empirical_radius=175, calculated_radius=-1, mass=237.0}
Element{atomicNumber=93, symbol='Np', name='neptunium', empirical_radius=175, calculated_radius=-1, mass=238.0289}
Element{atomicNumber=94, symbol='Pu', name='plutonium', empirical_radius=175, calculated_radius=-1, mass=243.0}
Element{atomicNumber=95, symbol='Am', name='americium', empirical_radius=175, calculated_radius=-1, mass=244.0}
Element{atomicNumber=96, symbol='Cm', name='curium', empirical_radius=-1, calculated_radius=-1, mass=247.0}
Element{atomicNumber=97, symbol='Bk', name='berkelium', empirical_radius=-1, calculated_radius=-1, mass=247.0}
Element{atomicNumber=98, symbol='Cf', name='californium', empirical_radius=-1, calculated_radius=-1, mass=251.0}
Element{atomicNumber=99, symbol='Es', name='einsteinium', empirical_radius=-1, calculated_radius=-1, mass=252.0}
Element{atomicNumber=100, symbol='Fm', name='fermium', empirical_radius=-1, calculated_radius=-1, mass=257.0}
Element{atomicNumber=101, symbol='Md', name='mendelevium', empirical_radius=-1, calculated_radius=-1, mass=258.0}
Element{atomicNumber=102, symbol='No', name='nobelium', empirical_radius=-1, calculated_radius=-1, mass=259.0}
Element{atomicNumber=103, symbol='Lr', name='lawrencium', empirical_radius=-1, calculated_radius=-1, mass=261.0}
Element{atomicNumber=104, symbol='Rf', name='rutherfordium', empirical_radius=-1, calculated_radius=-1, mass=262.0}
Element{atomicNumber=105, symbol='Db', name='dubnium', empirical_radius=-1, calculated_radius=-1, mass=262.0}
Element{atomicNumber=106, symbol='Sg', name='seaborgium', empirical_radius=-1, calculated_radius=-1, mass=264.0}
Element{atomicNumber=107, symbol='Bh', name='bohrium', empirical_radius=-1, calculated_radius=-1, mass=266.0}
Element{atomicNumber=108, symbol='Hs', name='hassium', empirical_radius=-1, calculated_radius=-1, mass=268.0}
Element{atomicNumber=109, symbol='Mt', name='meitnerium', empirical_radius=-1, calculated_radius=-1, mass=272.0}
Element{atomicNumber=110, symbol='Ds', name='darmstadtium', empirical_radius=-1, calculated_radius=-1, mass=277.0}
Element{atomicNumber=111, symbol='Rg', name='roentgenium', empirical_radius=-1, calculated_radius=-1, mass=-1.0}
Element{atomicNumber=112, symbol='Cn', name='copernicium', empirical_radius=-1, calculated_radius=-1, mass=-1.0}
Element{atomicNumber=113, symbol='Nh', name='nihonium', empirical_radius=-1, calculated_radius=-1, mass=-1.0}
Element{atomicNumber=114, symbol='Fl', name='flerovium', empirical_radius=-1, calculated_radius=-1, mass=-1.0}
Element{atomicNumber=115, symbol='Mc', name='moscovium', empirical_radius=-1, calculated_radius=-1, mass=-1.0}
Element{atomicNumber=116, symbol='Lv', name='livermorium', empirical_radius=-1, calculated_radius=-1, mass=-1.0}
Element{atomicNumber=117, symbol='Ts', name='tennessine', empirical_radius=-1, calculated_radius=-1, mass=-1.0}
Element{atomicNumber=118, symbol='Og', name='oganesson', empirical_radius=-1, calculated_radius=-1, mass=-1.0}

Calculated density: H: 1.6162227927314627E-6
